"5. Ehdokkaiden saamat äänimäärät suuruusjärjestyksessä sekä vertausluku"

"Ehdokas";"Äänimäärä";"Vertausluku";"Valintatieto"
"Pahlman Irma / SDP / Uudenmaan vaalipiiri";3044;9606.889;3
"Kähärä Sirkka-Liisa / SDP / Uudenmaan vaalipiiri";2682;8646.200;3
"Tahvanainen Säde / SDP / Uudenmaan vaalipiiri";2264;7860.182;3
"Värmälä Johanna / SDP / Uudenmaan vaalipiiri";2010;7205.167;3
"Ravolainen-Rinne Heta / SDP / Uudenmaan vaalipiiri";1821;6650.923;3
"Korpi Marianne / SDP / Uudenmaan vaalipiiri";1666;6175.857;3
"Karjalainen Anne / SDP / Uudenmaan vaalipiiri";1308;5764.133;3
"Mäkinen Emmi / SDP / Uudenmaan vaalipiiri";1201;5403.875;3
"Kukkola Jussi / SDP / Uudenmaan vaalipiiri";1136;5086.000;3
"Olin Tessa / SDP / Uudenmaan vaalipiiri";1082;4803.444;3
"Moberg Michael / SDP / Uudenmaan vaalipiiri";1033;4550.632;3
"Tallgren Mika / SDP / Uudenmaan vaalipiiri";1008;4323.100;3
"Bryggare Arto / SDP / Uudenmaan vaalipiiri";889;4117.238;3
"Åkers Thelma / SDP / Uudenmaan vaalipiiri";815;3930.091;3
"Karlsson Anette / SDP / Uudenmaan vaalipiiri";803;3759.217;3
"Läntinen Tommi / SDP / Uudenmaan vaalipiiri";802;3602.583;3
"Bruun Susanna / SDP / Uudenmaan vaalipiiri";792;3458.480;3
"Stevander Terhi / SDP / Uudenmaan vaalipiiri";710;3325.462;3
"Eklund Tarja / SDP / Uudenmaan vaalipiiri";632;3202.296;3
"Suhonen Mirja / SDP / Uudenmaan vaalipiiri";627;3087.929;3
"Mölsä Jukka / SDP / Uudenmaan vaalipiiri";621;2981.448;3
"Lepolahti Harri / SDP / Uudenmaan vaalipiiri";560;2882.067;3
"Savolainen Kim / SDP / Uudenmaan vaalipiiri";541;2789.097;3
"Merelä Mikko / SDP / Uudenmaan vaalipiiri";441;2701.938;3
"Kanerva Pasi / SDP / Uudenmaan vaalipiiri";440;2620.061;3
"Sodhi Ranbir / SDP / Uudenmaan vaalipiiri";437;2543.000;3
"Baltzar Veija (Veijo) / SDP / Uudenmaan vaalipiiri";194;2470.343;3
"Soini Timo / PS / Uudenmaan vaalipiiri";29527;93411.000;1
"Niinistö Jussi / PS / Uudenmaan vaalipiiri";11767;46705.500;1
"Niikko Mika / PS / Uudenmaan vaalipiiri";4273;31137.000;1
"Ruohonen-Lerner Pirkko / PS / Uudenmaan vaalipiiri";3301;23352.750;1
"Juvonen Arja / PS / Uudenmaan vaalipiiri";2931;18682.200;1
"Elo Simon / PS / Uudenmaan vaalipiiri";2907;15568.500;1
"Ruoho Veera / PS / Uudenmaan vaalipiiri";2563;13344.429;1
"Meri Leena / PS / Uudenmaan vaalipiiri";2493;11676.375;2
"Malmi Juha / PS / Uudenmaan vaalipiiri";2346;10379.000;3
"Jurva Johanna / PS / Uudenmaan vaalipiiri";2261;9341.100;3
"Lahtinen Teemu / PS / Uudenmaan vaalipiiri";2088;8491.909;3
"Poikonen Piritta / PS / Uudenmaan vaalipiiri";1966;7784.250;3
"Saukkola Ville / PS / Uudenmaan vaalipiiri";1779;7185.462;3
"Vahtera Pauli / PS / Uudenmaan vaalipiiri";1526;6672.214;3
"Jääskeläinen Pietari / PS / Uudenmaan vaalipiiri";1497;6227.400;3
"Lastuvuori Jenni / PS / Uudenmaan vaalipiiri";1418;5838.188;3
"Tapiolinna Maiju / PS / Uudenmaan vaalipiiri";1409;5494.765;3
"Mäkilaine Kirsi / PS / Uudenmaan vaalipiiri";1401;5189.500;3
"Kärki Niilo / PS / Uudenmaan vaalipiiri";1271;4916.368;3
"Sinisalo Pekka M. / PS / Uudenmaan vaalipiiri";1244;4670.550;3
"Laitinen Veli-Matti / PS / Uudenmaan vaalipiiri";1242;4448.143;3
"Lundell Kai-Ari / PS / Uudenmaan vaalipiiri";1216;4245.955;3
"Lång Saara / PS / Uudenmaan vaalipiiri";1172;4061.348;3
"Luukkanen Arto / PS / Uudenmaan vaalipiiri";1166;3892.125;3
"Kilpi Jukka / PS / Uudenmaan vaalipiiri";1151;3736.440;3
"Wallenius Jarkko / PS / Uudenmaan vaalipiiri";1059;3592.731;3
"Kemppainen Toni / PS / Uudenmaan vaalipiiri";997;3459.667;3
"Lappalainen Veijo / PS / Uudenmaan vaalipiiri";989;3336.107;3
"Simonen Juha / PS / Uudenmaan vaalipiiri";966;3221.069;3
"Karhu Suvi / PS / Uudenmaan vaalipiiri";937;3113.700;3
"Miettinen Taisto / PS / Uudenmaan vaalipiiri";703;3013.258;3
"Silvander Iiro / PS / Uudenmaan vaalipiiri";601;2919.094;3
"Lehtinen Petri S. J. / PS / Uudenmaan vaalipiiri";575;2830.636;3
"Wikstedt Mikko / PS / Uudenmaan vaalipiiri";400;2747.382;3
"Leppänen Marja-Leena / PS / Uudenmaan vaalipiiri";269;2668.886;3
"Laukkanen Antero / KD / Uudenmaan vaalipiiri";2520;13750.000;1
"Jääskeläinen Jouko / KD / Uudenmaan vaalipiiri";2307;6875.000;2
"Tuomela Tiina / KD / Uudenmaan vaalipiiri";1640;4583.333;3
"Haverinen Soili / KD / Uudenmaan vaalipiiri";796;3437.500;3
"Järvenpää Kaarina / KD / Uudenmaan vaalipiiri";537;2750.000;3
"Happonen Auli / KD / Uudenmaan vaalipiiri";461;2291.667;3
"Ahonen Lea / KD / Uudenmaan vaalipiiri";448;1964.286;3
"Taupila Reija / KD / Uudenmaan vaalipiiri";370;1718.750;3
"Silvennoinen Birgitta / KD / Uudenmaan vaalipiiri";326;1527.778;3
"Andström Urpo / KD / Uudenmaan vaalipiiri";319;1375.000;3
"Erävalo Esa / KD / Uudenmaan vaalipiiri";308;1250.000;3
"Koivula Susanna / KD / Uudenmaan vaalipiiri";285;1145.833;3
"Norro Soili / KD / Uudenmaan vaalipiiri";271;1057.692;3
"Tenhunen Markku / KD / Uudenmaan vaalipiiri";264;982.143;3
"Kuula Ina / KD / Uudenmaan vaalipiiri";239;916.667;3
"Haapalainen Johannes / KD / Uudenmaan vaalipiiri";220;859.375;3
"Kiuttu Mikko / KD / Uudenmaan vaalipiiri";213;808.824;3
"Malkki Kyllikki / KD / Uudenmaan vaalipiiri";208;763.889;3
"Rönkkö Pentti J. / KD / Uudenmaan vaalipiiri";203;723.684;3
"Kalmi Markus / KD / Uudenmaan vaalipiiri";199;687.500;3
"Paloheimo Ari / KD / Uudenmaan vaalipiiri";178;654.762;3
"Kemppi Eija / KD / Uudenmaan vaalipiiri";155;625.000;3
"Bollström Harri / KD / Uudenmaan vaalipiiri";152;597.826;3
"Hurmalainen Ahti / KD / Uudenmaan vaalipiiri";149;572.917;3
